,lr=1e-06
0,1.2727923393249512
1,1.2346551418304443
2,1.4281500577926636
3,0.814009964466095
4,1.2081434726715088
5,1.5083037614822388
6,1.3225476741790771
7,1.2240149974822998
8,1.2726788520812988
9,1.2958263158798218
10,1.173184871673584
11,1.1917566061019897
12,1.1270537376403809
13,1.3409708738327026
14,1.4380576610565186
15,1.1651227474212646
16,1.28618323802948
17,1.427673578262329
18,1.1357167959213257
19,1.1460795402526855
20,0.7851370573043823
21,1.1382148265838623
22,1.1472758054733276
23,1.3458224534988403
24,0.933934211730957
25,2.4128472805023193
26,1.2155098915100098
27,1.3519937992095947
28,1.209791660308838
29,0.9904106855392456
30,1.5615373849868774
31,1.0274009704589844
32,1.1224740743637085
33,1.268521785736084
34,1.4738094806671143
35,1.3484463691711426
36,1.130381464958191
37,1.3299952745437622
38,1.338084101676941
39,1.146461009979248
40,1.1719623804092407
41,1.4617124795913696
42,1.0531129837036133
43,2.2433767318725586
44,1.185288906097412
45,1.2754952907562256
46,1.418538212776184
47,1.0809259414672852
48,1.458876609802246
49,1.019716739654541
50,1.1776032447814941
51,1.218961238861084
52,1.9007447957992554
53,4.1267876625061035
54,3.741792678833008
55,0.9659135341644287
56,1.2459322214126587
57,1.1391624212265015
58,1.1417274475097656
59,1.0686166286468506
60,1.1468011140823364
61,1.4480724334716797
62,1.154829502105713
63,1.348268747329712
64,1.5811488628387451
65,1.704813003540039
66,0.900817334651947
67,1.5357928276062012
68,1.296812891960144
69,1.1452611684799194
70,1.5491067171096802
71,1.1907191276550293
72,1.1885818243026733
73,1.1970762014389038
74,1.3631526231765747
75,1.3077343702316284
76,1.1869844198226929
77,1.021105408668518
78,1.216638445854187
79,1.2438284158706665
80,1.304464340209961
81,1.053708553314209
82,1.2571585178375244
83,1.3430300951004028
84,0.9004637002944946
85,1.271917462348938
86,1.0805925130844116
87,1.1695847511291504
88,1.2832634449005127
89,1.25369131565094
90,1.1953883171081543
91,1.2206711769104004
92,1.4135584831237793
93,1.5128775835037231
94,1.8344793319702148
95,1.2532598972320557
96,3.5462708473205566
97,1.4859349727630615
98,1.5678268671035767
99,0.7220710515975952
100,1.2390648126602173
101,1.1014434099197388
102,0.9857490062713623
103,1.0663180351257324
104,0.9264762997627258
105,1.1554937362670898
106,1.2162803411483765
107,1.3054108619689941
108,1.45693039894104
109,1.1144182682037354
110,1.0586398839950562
111,1.2716870307922363
112,0.9869171380996704
113,1.2123514413833618
114,1.2059963941574097
115,1.5167728662490845
116,1.2768583297729492
117,1.5401761531829834
118,1.2901060581207275
119,1.3828887939453125
120,1.5459798574447632
121,1.2371636629104614
122,1.3664318323135376
123,1.340517282485962
124,1.8088929653167725
125,0.9908078908920288
126,1.3767493963241577
127,1.3847403526306152
128,1.6621545553207397
129,1.0617964267730713
130,1.1914645433425903
131,1.2455832958221436
132,1.3051387071609497
133,1.0488574504852295
134,1.021920084953308
135,1.3546253442764282
136,1.1474125385284424
137,2.9917120933532715
138,1.2250605821609497
139,1.1544169187545776
140,1.0563665628433228
141,1.1749364137649536
142,1.8041521310806274
143,1.1828335523605347
144,1.1748132705688477
145,1.258441686630249
146,1.4052050113677979
147,1.3688788414001465
148,1.2584714889526367
149,1.1359527111053467
150,1.2306323051452637
151,0.9950634241104126
152,1.28334641456604
153,1.2213270664215088
154,1.1609101295471191
155,1.101444959640503
156,1.4661426544189453
157,1.4187145233154297
158,1.2880159616470337
159,1.592363715171814
160,1.1072287559509277
161,1.082610845565796
162,1.2880511283874512
163,1.25830078125
164,1.21780264377594
165,1.2459795475006104
166,1.4492130279541016
167,1.2604212760925293
168,1.1350620985031128
169,1.3967595100402832
170,1.2299259901046753
171,0.9597047567367554
172,1.266299843788147
173,1.2547812461853027
174,1.1278026103973389
175,1.5419667959213257
176,1.001389741897583
177,1.1256130933761597
178,1.0660316944122314
179,1.0649563074111938
180,1.6171603202819824
181,1.5058948993682861
182,1.3154081106185913
183,1.278109073638916
184,1.0960123538970947
185,1.3936687707901
186,1.1808784008026123
187,1.1965876817703247
188,1.076544165611267
189,1.0657647848129272
190,1.1098893880844116
191,1.4386476278305054
192,1.170186996459961
