,lr=0.0001
0,0.31171461939811707
1,0.3582136929035187
2,0.3117768168449402
3,0.37875598669052124
4,0.4302586615085602
5,0.39088737964630127
6,0.2836923599243164
7,0.3078332543373108
8,0.4826321601867676
9,0.2278977334499359
10,0.3302740454673767
11,0.3411819040775299
12,0.36511853337287903
13,0.2862999141216278
14,0.43243056535720825
15,0.3722192943096161
16,0.4945696294307709
17,0.4770593047142029
18,0.41006141901016235
19,0.4444703459739685
20,0.3353923559188843
21,0.39331701397895813
22,0.2594774663448334
23,0.396271288394928
24,0.4031163454055786
25,0.26162129640579224
26,0.2718665897846222
27,0.31041765213012695
28,0.4268912374973297
29,0.42344775795936584
30,0.24616248905658722
31,0.4149620532989502
32,0.45115041732788086
33,0.38400161266326904
34,0.36286699771881104
35,0.37864503264427185
36,0.3363990783691406
37,0.32315555214881897
38,0.3386150598526001
39,0.3277644217014313
40,0.32618361711502075
41,0.42418915033340454
42,0.4459555447101593
43,0.33173778653144836
44,0.22027212381362915
45,0.2656576335430145
46,0.36407560110092163
47,0.4720816910266876
48,0.41232702136039734
49,0.387872576713562
50,0.46824130415916443
51,0.32214096188545227
52,0.28126904368400574
53,0.237879678606987
54,0.4361233115196228
55,0.32650938630104065
56,0.44565287232398987
57,0.34946146607398987
58,0.4069039523601532
59,0.35175931453704834
60,0.40838098526000977
61,0.28649210929870605
62,0.4510793685913086
63,0.3371484875679016
64,0.3635375201702118
65,0.34108203649520874
66,0.2833372950553894
67,0.44832369685173035
68,0.3992864191532135
69,0.30160123109817505
70,0.325324684381485
71,0.3092228174209595
72,0.32227256894111633
73,0.4682190418243408
74,0.3403483033180237
75,0.4454718232154846
76,0.25390490889549255
77,0.2264249324798584
78,0.40726038813591003
79,0.2854635715484619
80,0.220326229929924
81,0.355952650308609
82,0.3309968411922455
83,0.3795871138572693
84,0.46989235281944275
85,0.3087966740131378
86,0.3610381782054901
87,0.262371301651001
88,0.39653268456459045
89,0.3409554958343506
90,0.35431909561157227
91,0.4309878945350647
92,0.3880650997161865
93,0.2404283583164215
94,0.4191020727157593
95,0.2850334048271179
96,0.3983438313007355
97,0.2515014708042145
98,0.3054603040218353
99,0.42130929231643677
100,0.3958953320980072
101,0.3268698751926422
102,0.4069460332393646
103,0.31379562616348267
104,0.26911109685897827
105,0.32981395721435547
106,0.31121352314949036
107,0.39653098583221436
108,0.2519429922103882
109,0.3812403678894043
110,0.38648009300231934
111,0.34649112820625305
112,0.3879213035106659
113,0.23412415385246277
114,0.37915146350860596
115,0.28199753165245056
116,0.3572469651699066
117,0.36794739961624146
118,0.392254501581192
119,0.3817541003227234
120,0.4597488045692444
121,0.3617776334285736
122,0.34230494499206543
123,0.41477128863334656
124,0.29752880334854126
125,0.3908470869064331
126,0.3437502682209015
127,0.245705246925354
128,0.3786470293998718
129,0.4285831153392792
130,0.3523463010787964
131,0.3436988890171051
132,0.3762024939060211
133,0.2895662784576416
134,0.36463338136672974
135,0.4175575077533722
136,0.3079439401626587
137,0.3335811495780945
138,0.345153272151947
139,0.3377281427383423
140,0.38748130202293396
141,0.3273594379425049
142,0.46566328406333923
143,0.38901448249816895
144,0.3441210091114044
145,0.46673864126205444
146,0.4014987349510193
147,0.2940695881843567
148,0.1898898184299469
149,0.28332531452178955
150,0.3698297142982483
151,0.46351975202560425
152,0.4644942283630371
153,0.25321364402770996
