stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
13.0,5.0,12.0,4.0,152.0,734.0,5.0,23106.0,0.0,7.0,0.0,3.0,0.0,7.0,5.0,25.0,0.0,1.0,1.0,1.0,1427413699.0,1580409181.0
12.0,7.0,1.0,0.0,1.0,66.0,2.0,186.0,6668.0,0.0,0.0,1.0,0.0,7.0,0.0,47.0,0.0,1.0,1.0,1.0,1427398109.0,1581194033.0
12.0,3.0,3.0,9.0,10.0,67.0,1.0,55.0,2146.0,2.0,0.0,1.0,0.0,7.0,0.0,47.0,0.0,1.0,1.0,1.0,1427391695.0,1581360884.0
11.0,3.0,1.0,9.0,0.0,20.0,3.0,537.0,3341.0,0.0,0.0,1.0,0.0,8.0,0.0,69.0,0.0,1.0,1.0,1.0,1427407812.0,1580226986.0
8.0,0.0,0.0,13.0,0.0,61.0,2.0,192714.0,2756.0,0.0,0.0,0.0,249.0,7.0,0.0,7.0,1.0,1.0,1.0,0.0,1427401818.0,1581265236.0
7.0,0.0,0.0,4.0,0.0,118.0,4.0,289.0,932.0,0.0,0.0,0.0,0.0,7.0,0.0,51.0,0.0,1.0,1.0,1.0,1427367351.0,1579803636.0
6.0,1.0,3.0,1.0,21.0,1090.0,1.0,18200.0,2309.0,12.0,0.0,0.0,0.0,7.0,0.0,51.0,0.0,1.0,1.0,1.0,1427377326.0,1581941235.0
4.0,0.0,0.0,0.0,0.0,343.0,1.0,963.0,186.0,0.0,0.0,0.0,0.0,7.0,6.0,25.0,0.0,0.0,1.0,1.0,1427446249.0,1581871498.0
4.0,2.0,1.0,7.0,7.0,163.0,17.0,45831.0,811.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1427449972.0,1581499215.0
3.0,14.0,4.0,3.0,82.0,214.0,79.0,161.0,3161.0,43.0,0.0,0.0,0.0,8.0,2.0,15.0,0.0,0.0,0.0,1.0,1427471820.0,1579181942.0
6.0,9.0,14.0,2.0,92.0,259.0,1.0,273.0,3603.0,0.0,0.0,0.0,0.0,12.0,11.0,73.0,0.0,1.0,0.0,1.0,1427413784.0,1580166833.0
6.0,0.0,0.0,2.0,5.0,637.0,1.0,428.0,7573.0,0.0,0.0,0.0,0.0,7.0,0.0,26.0,0.0,1.0,1.0,1.0,1427332689.0,1581659964.0
5.0,0.0,1.0,3.0,0.0,779.0,1.0,92004.0,0.0,0.0,0.0,0.0,239.0,7.0,0.0,25.0,0.0,0.0,1.0,1.0,1427397569.0,1581975230.0
5.0,10.0,2.0,0.0,0.0,26.0,1.0,8455.0,144.0,1.0,0.0,0.0,0.0,7.0,6.0,48.0,1.0,0.0,1.0,1.0,1427386505.0,1579911827.0
5.0,0.0,0.0,0.0,0.0,361.0,1.0,1789.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,52.0,0.0,1.0,1.0,1.0,1427410094.0,1581372653.0
4.0,0.0,63.0,0.0,0.0,92.0,1.0,2753.0,3247.0,0.0,0.0,4.0,0.0,5.0,7.0,104.0,1.0,0.0,0.0,1.0,1427383993.0,1581251152.0
4.0,0.0,0.0,0.0,0.0,103.0,15.0,31423.0,6474.0,0.0,0.0,0.0,0.0,7.0,0.0,38.0,0.0,0.0,1.0,0.0,1427375889.0,1578648585.0
3.0,0.0,0.0,0.0,0.0,91.0,2.0,6017.0,15788.0,0.0,0.0,0.0,0.0,7.0,0.0,79.0,0.0,0.0,1.0,1.0,1427366653.0,1578920464.0
3.0,0.0,2.0,4.0,0.0,26.0,2.0,34757.0,7046.0,0.0,0.0,0.0,0.0,7.0,0.0,70.0,0.0,0.0,1.0,1.0,1427411134.0,1579884897.0
3.0,6.0,23.0,5.0,5.0,612.0,75.0,659.0,8495.0,0.0,0.0,4.0,0.0,11.0,0.0,21.0,0.0,1.0,1.0,1.0,1427406513.0,1578432228.0
2.0,0.0,0.0,1.0,0.0,326.0,4.0,34570.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,89.0,0.0,0.0,1.0,1.0,1427391677.0,1580030643.0
2.0,0.0,0.0,0.0,0.0,19.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,1.0,1.0,1427408614.0,1581516703.0
2.0,2.0,10.0,3.0,7.0,133.0,1.0,128.0,9268.0,0.0,0.0,0.0,0.0,7.0,0.0,46.0,0.0,0.0,0.0,1.0,1427356797.0,1580876827.0
2.0,0.0,0.0,0.0,54.0,182.0,45.0,1534.0,22.0,24.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1427366516.0,1580464518.0
2.0,1.0,0.0,1.0,0.0,193.0,1.0,35607.0,0.0,0.0,0.0,0.0,211.0,7.0,0.0,9.0,1.0,0.0,1.0,1.0,1427332228.0,1577933219.0
2.0,0.0,1.0,1.0,0.0,80.0,2.0,151291.0,2233.0,0.0,0.0,0.0,0.0,7.0,0.0,32.0,0.0,0.0,1.0,1.0,1427387525.0,1580751578.0
2.0,0.0,1.0,24.0,60.0,263.0,7.0,1101.0,0.0,9.0,0.0,0.0,0.0,11.0,6.0,19.0,0.0,1.0,1.0,1.0,1427393791.0,1581412265.0
2.0,0.0,0.0,1.0,0.0,99.0,1.0,210.0,4516.0,0.0,0.0,0.0,0.0,7.0,0.0,228.0,0.0,1.0,0.0,1.0,1427347108.0,1577864548.0
2.0,0.0,0.0,2.0,0.0,153.0,6.0,41891.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,43.0,1.0,0.0,1.0,1.0,1427380402.0,1578933084.0
2.0,0.0,1.0,0.0,0.0,10.0,2.0,44.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,86.0,0.0,0.0,1.0,1.0,1427392170.0,1578547066.0
