"stargazers","openissues","closedissues","forkCount","pullRequests","commitnum","watchers","diskUsage_kb","readme_bytes","releases","projects","milestones","deployments","issuelabels","repositoryTopics","descr_len","hasUrl","hasLicense","hasWiki","hasIssue","created","updated"
"13","19","51","9","163","877","30","43627","5442","9","0","57","0","51","0","48","0","1","0","1","1427407987","1581956408"
"13","5","12","4","152","734","5","23106","0","7","0","3","0","7","5","25","0","1","1","1","1427413699","1580409181"
"12","7","1","0","1","66","2","186","6668","0","0","1","0","7","0","47","0","1","1","1","1427398109","1581194033"
"12","3","3","9","10","67","1","55","2146","2","0","1","0","7","0","47","0","1","1","1","1427391695","1581360884"
"11","3","1","9","0","20","3","537","3341","0","0","1","0","8","0","69","0","1","1","1","1427407812","1580226986"
"8","0","0","13","0","61","2","192714","2756","0","0","0","249","7","0","7","1","1","1","0","1427401818","1581265236"
"7","0","0","4","0","118","4","289","932","0","0","0","0","7","0","51","0","1","1","1","1427367351","1579803636"
"6","1","3","1","21","1090","1","18200","2309","12","0","0","0","7","0","51","0","1","1","1","1427377326","1581941235"
"4","0","0","0","0","343","1","963","186","0","0","0","0","7","6","25","0","0","1","1","1427446249","1581871498"
"4","2","1","7","7","163","17","45831","811","0","0","0","0","7","0","0","0","0","1","1","1427449972","1581499215"
"3","14","4","3","82","214","79","161","3161","43","0","0","0","8","2","15","0","0","0","1","1427471820","1579181942"
"6","9","14","2","92","259","1","273","3603","0","0","0","0","12","11","73","0","1","0","1","1427413784","1580166833"
"6","0","0","2","5","637","1","428","7573","0","0","0","0","7","0","26","0","1","1","1","1427332689","1581659964"
"5","0","1","3","0","779","1","92004","0","0","0","0","239","7","0","25","0","0","1","1","1427397569","1581975230"
"5","10","2","0","0","26","1","8455","144","1","0","0","0","7","6","48","1","0","1","1","1427386505","1579911827"
"5","0","0","0","0","361","1","1789","0","0","0","0","0","7","7","52","0","1","1","1","1427410094","1581372653"
"4","0","63","0","0","92","1","2753","3247","0","0","4","0","5","7","104","1","0","0","1","1427383993","1581251152"
"4","0","0","0","0","103","15","31423","6474","0","0","0","0","7","0","38","0","0","1","0","1427375889","1578648585"
"3","0","0","0","0","91","2","6017","15788","0","0","0","0","7","0","79","0","0","1","1","1427366653","1578920464"
"3","0","2","4","0","26","2","34757","7046","0","0","0","0","7","0","70","0","0","1","1","1427411134","1579884897"
"3","6","23","5","5","612","75","659","8495","0","0","4","0","11","0","21","0","1","1","1","1427406513","1578432228"
"2","0","0","1","0","326","4","34570","0","0","0","0","0","7","0","89","0","0","1","1","1427391677","1580030643"
"2","0","0","0","0","19","1","96","0","0","0","0","0","7","0","18","0","0","1","1","1427408614","1581516703"
"2","2","10","3","7","133","1","128","9268","0","0","0","0","7","0","46","0","0","0","1","1427356797","1580876827"
"2","0","0","0","54","182","45","1534","22","24","0","0","0","7","0","0","0","0","1","1","1427366516","1580464518"
"2","1","0","1","0","193","1","35607","0","0","0","0","211","7","0","9","1","0","1","1","1427332228","1577933219"
"2","0","1","1","0","80","2","151291","2233","0","0","0","0","7","0","32","0","0","1","1","1427387525","1580751578"
"2","0","1","24","60","263","7","1101","0","9","0","0","0","11","6","19","0","1","1","1","1427393791","1581412265"
"2","0","0","1","0","99","1","210","4516","0","0","0","0","7","0","228","0","1","0","1","1427347108","1577864548"
"2","0","0","2","0","153","6","41891","0","0","0","0","0","7","0","43","1","0","1","1","1427380402","1578933084"
"2","0","1","0","0","10","2","44","0","1","0","0","0","7","0","86","0","0","1","1","1427392170","1578547066"
"2","1","3","3","5","77","1","53","872","8","0","4","0","7","8","95","0","1","1","1","1427401583","1581940897"
"2","0","7","2","6","71","2","139735","5498","0","0","0","6","8","4","17","1","0","1","1","1427390090","1581629565"
"1","1","0","3","0","null","14","54","0","0","0","0","23","7","0","45","1","0","1","1","1427375262","1579549762"
"1","0","0","1","0","844","1","617","56","0","0","0","0","7","0","41","0","1","1","1","1427340524","1581737923"
"1","0","3","0","2","null","36","1434","0","4","0","0","0","7","0","54","0","1","1","1","1427332116","1580074319"
"1","0","0","0","0","2","1","46","251","0","0","0","0","7","0","27","0","1","1","1","1427348077","1581407615"
"1","0","0","0","0","98","1","9268","0","0","0","0","0","7","0","24","0","0","1","1","1427414677","1579841211"
"1","0","0","0","0","60","1","997","521","0","0","0","0","7","0","0","0","0","1","1","1427429773","1581629184"
"1","0","0","2","0","3","1","1617","0","0","0","0","0","7","0","43","0","0","1","1","1427441690","1578304533"
"1","0","4","6","13","48","11","42","0","0","0","0","0","11","2","50","1","1","1","1","1427367193","1578928482"
"1","0","0","0","0","6","7","71","1511","0","0","0","0","7","0","70","0","1","1","1","1427399666","1581307551"
"1","13","18","0","0","183","1","1874","1434","0","0","0","0","17","0","137","0","0","0","1","1427365024","1577911301"
"1","0","0","0","2","43","1","674","1188","0","0","0","0","8","0","72","1","0","0","1","1427368398","1578724965"
"1","0","0","3","2","69","5","132039","1811","0","0","0","0","7","0","0","0","1","1","1","1427386340","1580831928"
"1","2","1","2","2","550","4","779","2224","0","0","0","0","7","0","90","0","0","0","1","1427338609","1579052037"
"1","0","0","1","0","1043","4","124026","84","0","0","0","544","7","2","47","1","0","1","1","1427408129","1580645872"
"1","0","0","72","2","15","8","335","8215","0","0","0","0","7","0","110","0","1","1","1","1427397256","1580440567"
"10783","251","4605","8984","2231","3556","900","86014","9657","26","7","17","1","40","0","24","0","1","1","1","1427433726","1581967800"
"2","0","0","1","3","154","1","242","0","0","0","0","0","8","0","25","1","0","1","1","1427568914","1581962250"
"371","41","743","94","900","19348","34","36860","5075","20","2","46","0","55","7","53","1","0","1","1","1427642868","1581938441"
"2693","0","38","1637","18","272","117","325","1561","0","0","0","0","7","8","60","1","1","1","1","1427429329","1581959830"
"1941","164","236","374","706","2005","220","206293","15761","42","0","2","0","20","5","54","1","1","1","1","1427492925","1581960765"
"1339","32","72","170","57","993","51","26524","19018","0","0","0","138","7","2","27","1","1","1","1","1427453966","1581756744"
"1239","5","45","179","44","840","64","2741","6289","4","0","0","0","7","0","47","1","1","0","1","1427479762","1581864490"
"1224","157","448","227","179","1222","122","72678","62268","28","0","0","0","11","2","68","0","1","1","1","1427479273","1581971122"
"1174","81","607","897","165","495","85","15130","7596","11","0","1","0","31","0","52","0","1","1","1","1427493989","1581924790"
"985","11","385","132","81","385","27","8095","2380","35","2","15","0","9","3","37","1","1","1","1","1427468796","1581971655"
"900","339","2521","247","170","6563","96","215822","7563","17","0","14","0","16","6","131","1","1","1","1","1427441862","1581905270"
"2","0","0","1","1","100","1","367","0","0","0","0","9","7","0","31","0","0","0","1","1427634556","1579587386"
"130","6","60","49","103","274","31","31657","6866","0","0","0","0","11","0","34","0","0","1","1","1427703894","1581560469"
"640","31","80","89","16","291","10","571","9658","11","0","2","0","8","7","72","1","0","1","1","1427422234","1581698561"
"472","27","58","443","243","672","133","14613","427","0","0","3","0","8","0","46","0","0","1","1","1427435280","1581645619"
"271","97","643","100","113","3356","48","22255","9986","172","4","2","1","32","9","61","1","1","1","1","1427454150","1581281563"
"189","11","9","22","17","76","14","96","10051","0","0","0","0","8","0","41","0","1","1","1","1427439909","1581744190"
"174","41","30","56","697","9932","30","152236","12551","23","0","0","0","9","0","73","1","0","1","1","1427445102","1581701870"
