stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
2,0,1,1,0,80.0,2,151291,2233,0,0,0,0,7,0,32,0,0,1,1,1427387525,1580751578
2,0,1,24,60,263.0,7,1101,0,9,0,0,0,11,6,19,0,1,1,1,1427393791,1581412265
2,0,0,1,0,99.0,1,210,4516,0,0,0,0,7,0,228,0,1,0,1,1427347108,1577864548
2,0,0,2,0,153.0,6,41891,0,0,0,0,0,7,0,43,1,0,1,1,1427380402,1578933084
2,0,1,0,0,10.0,2,44,0,1,0,0,0,7,0,86,0,0,1,1,1427392170,1578547066
2,1,3,3,5,77.0,1,53,872,8,0,4,0,7,8,95,0,1,1,1,1427401583,1581940897
2,0,7,2,6,71.0,2,139735,5498,0,0,0,6,8,4,17,1,0,1,1,1427390090,1581629565
1,1,0,3,0,,14,54,0,0,0,0,23,7,0,45,1,0,1,1,1427375262,1579549762
1,0,0,1,0,844.0,1,617,56,0,0,0,0,7,0,41,0,1,1,1,1427340524,1581737923
1,0,3,0,2,,36,1434,0,4,0,0,0,7,0,54,0,1,1,1,1427332116,1580074319
1,0,0,0,0,2.0,1,46,251,0,0,0,0,7,0,27,0,1,1,1,1427348077,1581407615
1,0,0,0,0,98.0,1,9268,0,0,0,0,0,7,0,24,0,0,1,1,1427414677,1579841211
1,0,0,0,0,60.0,1,997,521,0,0,0,0,7,0,0,0,0,1,1,1427429773,1581629184
1,0,0,2,0,3.0,1,1617,0,0,0,0,0,7,0,43,0,0,1,1,1427441690,1578304533
1,0,4,6,13,48.0,11,42,0,0,0,0,0,11,2,50,1,1,1,1,1427367193,1578928482
1,0,0,0,0,6.0,7,71,1511,0,0,0,0,7,0,70,0,1,1,1,1427399666,1581307551
1,13,18,0,0,183.0,1,1874,1434,0,0,0,0,17,0,137,0,0,0,1,1427365024,1577911301
1,0,0,0,2,43.0,1,674,1188,0,0,0,0,8,0,72,1,0,0,1,1427368398,1578724965
1,0,0,3,2,69.0,5,132039,1811,0,0,0,0,7,0,0,0,1,1,1,1427386340,1580831928
1,2,1,2,2,550.0,4,779,2224,0,0,0,0,7,0,90,0,0,0,1,1427338609,1579052037
1,0,0,1,0,1043.0,4,124026,84,0,0,0,544,7,2,47,1,0,1,1,1427408129,1580645872
1,0,0,72,2,15.0,8,335,8215,0,0,0,0,7,0,110,0,1,1,1,1427397256,1580440567
10783,251,4605,8984,2231,3556.0,900,86014,9657,26,7,17,1,40,0,24,0,1,1,1,1427433726,1581967800
2,0,0,1,3,154.0,1,242,0,0,0,0,0,8,0,25,1,0,1,1,1427568914,1581962250
371,41,743,94,900,19348.0,34,36860,5075,20,2,46,0,55,7,53,1,0,1,1,1427642868,1581938441
2693,0,38,1637,18,272.0,117,325,1561,0,0,0,0,7,8,60,1,1,1,1,1427429329,1581959830
1941,164,236,374,706,2005.0,220,206293,15761,42,0,2,0,20,5,54,1,1,1,1,1427492925,1581960765
1339,32,72,170,57,993.0,51,26524,19018,0,0,0,138,7,2,27,1,1,1,1,1427453966,1581756744
1239,5,45,179,44,840.0,64,2741,6289,4,0,0,0,7,0,47,1,1,0,1,1427479762,1581864490
1224,157,448,227,179,1222.0,122,72678,62268,28,0,0,0,11,2,68,0,1,1,1,1427479273,1581971122
1174,81,607,897,165,495.0,85,15130,7596,11,0,1,0,31,0,52,0,1,1,1,1427493989,1581924790
985,11,385,132,81,385.0,27,8095,2380,35,2,15,0,9,3,37,1,1,1,1,1427468796,1581971655
900,339,2521,247,170,6563.0,96,215822,7563,17,0,14,0,16,6,131,1,1,1,1,1427441862,1581905270
2,0,0,1,1,100.0,1,367,0,0,0,0,9,7,0,31,0,0,0,1,1427634556,1579587386
130,6,60,49,103,274.0,31,31657,6866,0,0,0,0,11,0,34,0,0,1,1,1427703894,1581560469
